status_code,history,alias,site,error,years
200,,,http://ca-tiburon.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.tuolumnecounty.ca.gov/AgendaCenter,http://ca-tuolumnecounty.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://ca-ventura.civicplus.com/AgendaCenter,http://ca-ventura.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofwatsonville.org/AgendaCenter,http://ca-watsonville.civicplus.com/AgendaCenter,,True
200,,,http://ca-willits.civicplus.com/AgendaCenter,,True
200,,,http://ca-wiyottribe.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.wmwd.com/AgendaCenter,http://ca-wmwd.civicplus.com/AgendaCenter,,True
200,,,http://ca-woodland.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://wrcog.us/AgendaCenter,http://ca-wrcog.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://ca-yubacountywater.civicplus.com/AgendaCenter,http://ca-yubacountywater.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.apcha.org/AgendaCenter,http://co-apcha.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.arapahoegov.com/AgendaCenter,http://co-arapahoecounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.acwwa.com/AgendaCenter,http://co-arapahoecountywwa.civicplus.com/AgendaCenter,,True
,,,http://co-archuletacounty.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
200,[<Response [302]>],https://www.cityofaspen.com/AgendaCenter,http://co-aspen.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.basalt.net/AgendaCenter,http://co-basalt.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.brightonco.gov/AgendaCenter,http://co-brighton.civicplus.com/AgendaCenter,,True
200,,,http://co-brightonura.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.broomfield.org/AgendaCenter,http://co-broomfield.civicplus.com/AgendaCenter,,True
200,,,http://co-buenavista.civicplus.com/AgendaCenter,,True
200,,,http://co-burlington.civicplus.com/AgendaCenter,,True
200,,,http://co-cherryhillsvillage.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cordilleraliving.com/AgendaCenter,http://co-cordillerametrodistrict.civicplus.com/AgendaCenter,,True
200,,,http://co-cortez.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofdacono.com/AgendaCenter,http://co-dacono2.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.deltacounty.com/AgendaCenter,http://co-deltacounty2.civicplus.com/AgendaCenter,,True
200,,,http://co-elpasoteller911.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.fffd.us/AgendaCenter,http://co-fffd.civicplus.com/AgendaCenter,,True
200,,,http://co-fortlupton.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.frasercolorado.com/AgendaCenter,http://co-fraser.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.frederickco.gov/AgendaCenter,http://co-frederick.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.glendale.co.us/AgendaCenter,http://co-glendale.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.gwsco.gov/AgendaCenter,http://co-glenwoodsprings.civicplus.com/AgendaCenter,,True
